Node Number	Equivalent Elastic Strain (mm/mm)
489	3,0219e-003
490	3,0189e-003
491	3,0189e-003
492	3,0219e-003
493	3,1016e-003
494	3,0981e-003
495	3,0981e-003
496	3,1016e-003
497	2,7003e-003
498	2,6988e-003
499	2,6988e-003
500	2,7003e-003
501	2,7599e-003
502	2,7582e-003
503	2,7582e-003
504	2,7599e-003
505	2,5682e-003
506	2,5673e-003
507	2,5673e-003
508	2,5682e-003
509	2,6343e-003
510	2,6331e-003
511	2,6331e-003
512	2,6343e-003
513	2,4458e-003
514	2,4453e-003
515	2,4453e-003
516	2,4458e-003
517	2,5031e-003
518	2,5024e-003
519	2,5024e-003
520	2,5031e-003
521	2,6791e-003
522	2,6777e-003
523	2,6777e-003
524	2,6791e-003
525	2,4046e-003
526	2,4043e-003
527	2,4043e-003
528	2,4046e-003
529	2,4628e-003
530	2,4622e-003
531	2,4622e-003
532	2,4628e-003
533	2,2988e-003
534	2,2988e-003
535	2,2988e-003
536	2,2988e-003
537	2,3517e-003
538	2,3516e-003
539	2,3516e-003
540	2,3517e-003
541	2,3164e-003
542	2,3164e-003
543	2,3164e-003
544	2,3164e-003
545	2,4012e-003
546	2,4009e-003
547	2,4009e-003
548	2,4012e-003
549	2,7521e-003
550	2,7504e-003
551	2,7504e-003
552	2,7521e-003
553	2,6793e-003
554	2,6779e-003
555	2,6779e-003
556	2,6793e-003
557	2,5028e-003
558	2,5021e-003
559	2,5021e-003
560	2,5028e-003
561	2,4288e-003
562	2,4284e-003
563	2,4284e-003
564	2,4288e-003
565	2,6463e-003
566	2,645e-003
567	2,645e-003
568	2,6463e-003
569	2,5735e-003
570	2,5725e-003
571	2,5725e-003
572	2,5735e-003
573	2,7164e-003
574	2,7148e-003
575	2,7148e-003
576	2,7164e-003
577	2,8971e-003
578	2,8947e-003
579	2,8947e-003
580	2,8971e-003
581	2,8424e-003
582	2,8403e-003
583	2,8403e-003
584	2,8424e-003
585	2,9084e-003
586	2,906e-003
587	2,906e-003
588	2,9084e-003
589	2,9378e-003
590	2,9352e-003
591	2,9352e-003
592	2,9378e-003
593	2,963e-003
594	2,9602e-003
595	2,9602e-003
596	2,963e-003
597	3,0621e-003
598	3,0588e-003
599	3,0588e-003
600	3,0621e-003
601	3,0088e-003
602	3,0057e-003
603	3,0057e-003
604	3,0088e-003
605	2,9375e-003
606	2,9349e-003
607	2,9349e-003
608	2,9375e-003
609	2,8322e-003
610	2,8301e-003
611	2,8301e-003
612	2,8322e-003
613	2,298e-003
614	2,298e-003
615	2,298e-003
616	2,298e-003
617	2,9816e-003
618	2,9788e-003
619	2,9788e-003
620	2,9816e-003
621	3,168e-003
622	3,164e-003
623	3,164e-003
624	3,168e-003
625	3,0756e-003
626	3,0722e-003
627	3,0722e-003
628	3,0756e-003
629	3,176e-003
630	3,1719e-003
631	3,1719e-003
632	3,176e-003
633	2,3701e-003
634	2,3698e-003
635	2,3698e-003
636	2,3701e-003
637	2,2984e-003
638	2,2984e-003
