Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
2153	-20,358	14,278	-0,11647	18,803
2153	-20,358	14,278	-0,11647	18,803
2154	-19,872	15,187	-0,11647	18,219
2154	-19,872	15,187	-0,11647	18,219
2155	-19,383	16,099	-0,11647	17,772
2155	-19,383	16,099	-0,11647	17,772
2156	-18,891	17,015	-0,11647	17,447
2156	-18,891	17,015	-0,11647	17,447
2157	-18,396	17,936	-0,11647	17,233
2157	-18,396	17,936	-0,11647	17,233
2158	-17,905	18,848	-0,11647	17,125
2158	-17,905	18,848	-0,11647	17,125
2159	-17,404	19,779	-0,11647	17,111
2159	-17,404	19,779	-0,11647	17,111
2160	-16,399	21,639	-0,11647	17,359
2160	-16,399	21,639	-0,11647	17,359
2161	-15,889	22,583	-0,11647	17,614
2161	-15,889	22,583	-0,11647	17,614
2162	-15,377	23,531	-0,11647	17,953
2162	-15,377	23,531	-0,11647	17,953
2163	-14,87	24,479	-0,11647	18,372
2163	-14,87	24,479	-0,11647	18,372
2164	-14,363	25,426	-0,11647	18,871
2164	-14,363	25,426	-0,11647	18,871
2165	-13,855	26,376	-0,11647	19,449
2165	-13,855	26,376	-0,11647	19,449
2166	-13,343	27,335	-0,11647	20,111
2166	-13,343	27,335	-0,11647	20,111
2167	-12,829	28,3	-0,11647	20,855
2167	-12,829	28,3	-0,11647	20,855
2168	-12,32	29,258	-0,11647	21,681
2168	-12,32	29,258	-0,11647	21,681
2169	-11,812	30,219	-0,11647	22,594
2169	-11,812	30,219	-0,11647	22,594
2170	-11,304	31,182	-0,11647	23,603
2170	-11,304	31,182	-0,11647	23,603
2171	-10,792	32,145	-0,11647	24,72
2171	-10,792	32,145	-0,11647	24,72
2172	-10,272	33,119	-0,11647	25,969
2172	-10,272	33,119	-0,11647	25,969
2173	-9,7445	34,104	-0,11647	27,387
2173	-9,7445	34,104	-0,11647	27,387
2174	-9,1925	35,115	-0,11647	29,025
2174	-9,1925	35,115	-0,11647	29,025
2175	-8,6476	36,129	-0,11647	30,868
2175	-8,6476	36,129	-0,11647	30,868
2176	-8,1528	37,117	-0,11647	32,922
2176	-8,1528	37,117	-0,11647	32,922
2177	-7,6806	38,147	-0,11647	35,376
2177	-7,6806	38,147	-0,11647	35,376
2178	-7,2526	39,13	-0,11647	38,354
2178	-7,2526	39,13	-0,11647	38,354
2179	3,5755	38,104	-0,11647	40,29
2179	3,5755	38,104	-0,11647	40,29
2180	1,4705	36,315	-0,11647	34,26
2180	1,4705	36,315	-0,11647	34,26
2181	-1,17	36,28	-0,11647	34,078
2181	-1,17	36,28	-0,11647	34,078
2182	-3,2749	38,09	-0,11647	39,769
2182	-3,2749	38,09	-0,11647	39,769
2183	4,946	39,192	-0,11647	43,96
2183	4,946	39,192	-0,11647	43,96
2184	-21,529	6,7344	-0,11647	31,376
2184	-21,529	6,7344	-0,11647	31,376
2185	-18,856	5,8413	-0,11647	26,171
2185	-18,856	5,8413	-0,11647	26,171
2186	-18,92	-6,0496	-0,11647	26,423
2186	-18,92	-6,0496	-0,11647	26,423
2187	-21,443	-7,0207	-0,11647	30,598
2187	-21,443	-7,0207	-0,11647	30,598
2188	6,1781	38,854	-0,11647	40,069
2188	6,1781	38,854	-0,11647	40,069
2189	18,534	0,56714	-0,11647	28,114
2189	18,534	0,56714	-0,11647	28,114
2190	18,518	-0,37364	-0,11647	28,019
2190	18,518	-0,37364	-0,11647	28,019
2191	6,8916	39,43	-0,11647	39,739
2191	6,8916	39,43	-0,11647	39,739
2192	7,3647	38,649	-0,11647	36,949
2192	7,3647	38,649	-0,11647	36,949
2193	7,8075	37,7	-0,11647	34,429
2193	7,8075	37,7	-0,11647	34,429
2194	8,2491	36,748	-0,11647	32,249
2194	8,2491	36,748	-0,11647	32,249
2195	8,7437	35,794	-0,11647	30,343
2195	8,7437	35,794	-0,11647	30,343
2196	9,2551	34,854	-0,11647	28,645
2196	9,2551	34,854	-0,11647	28,645
2197	9,7674	33,9	-0,11647	27,14
2197	9,7674	33,9	-0,11647	27,14
2198	10,281	32,95	-0,11647	25,802
2198	10,281	32,95	-0,11647	25,802
2199	10,792	32,006	-0,11647	24,596
2199	10,792	32,006	-0,11647	24,596
2200	11,305	31,05	-0,11647	23,502
2200	11,305	31,05	-0,11647	23,502
2201	11,813	30,106	-0,11647	22,511
2201	11,813	30,106	-0,11647	22,511
2202	12,838	28,201	-0,11647	20,793
2202	12,838	28,201	-0,11647	20,793
2203	13,358	27,24	-0,11647	20,055
2203	13,358	27,24	-0,11647	20,055
2204	13,867	26,292	-0,11647	19,402
2204	13,867	26,292	-0,11647	19,402
2205	14,383	25,336	-0,11647	18,827
2205	14,383	25,336	-0,11647	18,827
2206	14,896	24,394	-0,11647	18,335
2206	14,896	24,394	-0,11647	18,335
2207	15,407	23,457	-0,11647	17,922
2207	15,407	23,457	-0,11647	17,922
2208	15,919	22,512	-0,11647	17,589
2208	15,919	22,512	-0,11647	17,589
2209	16,424	21,584	-0,11647	17,34
2209	16,424	21,584	-0,11647	17,34
2210	16,933	20,649	-0,11647	17,177
2210	16,933	20,649	-0,11647	17,177
2211	17,439	19,721	-0,11647	17,102
2211	17,439	19,721	-0,11647	17,102
2212	17,937	18,805	-0,11647	17,119
2212	17,937	18,805	-0,11647	17,119
2213	18,438	17,887	-0,11647	17,232
2213	18,438	17,887	-0,11647	17,232
2214	18,934	16,974	-0,11647	17,448
2214	18,934	16,974	-0,11647	17,448
2215	19,43	16,066	-0,11647	17,775
2215	19,43	16,066	-0,11647	17,775
2216	19,927	15,157	-0,11647	18,228
2216	19,927	15,157	-0,11647	18,228
2217	20,426	14,243	-0,11647	18,819
2217	20,426	14,243	-0,11647	18,819
2218	20,928	13,337	-0,11647	19,568
2218	20,928	13,337	-0,11647	19,568
2219	21,44	12,431	-0,11647	20,503
2219	21,44	12,431	-0,11647	20,503
2220	21,963	11,545	-0,11647	21,654
2220	21,963	11,545	-0,11647	21,654
2221	22,498	10,659	-0,11647	23,079
2221	22,498	10,659	-0,11647	23,079
2222	23,05	9,7838	-0,11647	24,863
2222	23,05	9,7838	-0,11647	24,863
2223	23,613	8,8936	-0,11647	27,17
2223	23,613	8,8936	-0,11647	27,17
2224	6,7838	40,619	-0,11647	43,923
2224	6,7838	40,619	-0,11647	43,923
2225	-19,777	-6,345	-0,11647	27,976
2225	-19,777	-6,345	-0,11647	27,976
2226	-20,638	6,5446	-0,11647	29,389
2226	-20,638	6,5446	-0,11647	29,389
2227	6,2861	40,091	-0,11647	43,841
2227	6,2861	40,091	-0,11647	43,841
2228	-1,8534	36,897	-0,11647	35,472
2228	-1,8534	36,897	-0,11647	35,472
2229	2,1833	36,936	-0,11647	35,811
2229	2,1833	36,936	-0,11647	35,811
2230	2,9137	37,539	-0,11647	37,846
2230	2,9137	37,539	-0,11647	37,846
2231	-5,9226	39,705	-0,11647	43,633
2231	-5,9226	39,705	-0,11647	43,633
2232	-6,7037	-40,362	-0,11647	33,897
2232	-6,7037	-40,362	-0,11647	33,897
2233	-3,2788	-37,845	-0,11647	47,883
2233	-3,2788	-37,845	-0,11647	47,883
2234	5,9787	-39,452	-0,11647	37,866
2234	5,9787	-39,452	-0,11647	37,866
2235	17,487	-1,9788	-0,11647	25,854
2235	17,487	-1,9788	-0,11647	25,854
2236	17,332	-2,8702	-0,11647	25,305
2236	17,332	-2,8702	-0,11647	25,305
2237	19,419	-6,1769	-0,11647	27,33
2237	19,419	-6,1769	-0,11647	27,33
2238	20,324	-6,498	-0,11647	28,971
2238	20,324	-6,498	-0,11647	28,971
2239	24,164	8,0046	-0,11647	30,224
2239	24,164	8,0046	-0,11647	30,224
2240	20,287	6,363	-0,11647	28,904
2240	20,287	6,363	-0,11647	28,904
2241	19,452	6,1314	-0,11647	27,173
2241	19,452	6,1314	-0,11647	27,173
2242	17,461	1,8354	-0,11647	25,757
